block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_67102,13053R,0,TO SHILOH SCOTT,88824,3_merged_2098089,2085172
a_65272,12926,0,TO ROCK ROAD STA,88265,1_merged_2098085,2066643
a_62121,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065118
a_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065119
a_65151,12918,0,TO MACKLIND & ARSENAL,88230,1_merged_2098085,2065448
a_65142,12918,0,TO MACKLIND & ARSENAL,88230,1_merged_2098085,2065449
b_67105,13053R,0,TO SHILOH SCOTT,88824,3_merged_2098089,2085174
a_62482,12946,1,TO BRENTWOOD STA,88368,2_merged_2098087,2069162
a_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065112
a_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065113
a_65151,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065446
a_65141,12918,0,TO MACKLIND & ARSENAL,88230,1_merged_2098085,2065447
a_65142,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065440
a_65141,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065441
a_65151,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065442
a_65142,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065443
b_62714,12994,1,TO CIVIC CENTER,88561,1_merged_2098088,2075722
b_65320,13009,0,TO RIVERVIEW TC,88619,1_merged_2098088,2078002
a_62482,12946,0,TO STLCC MERAMEC,88367,2_merged_2098087,2069160
a_69142,12961,0,19TH & CENTRAL,88433,3_merged_2098086,2072331
a_65561,12943,0,TO RIVERVIEW TC,88352,3_merged_2098086,2068913
b_65325,13009,0,TO RIVERVIEW TC,88619,1_merged_2098088,2078003
a_65271,12926,1,TO AMELING & MCKELVEY VIA WESTPORT PLZ,88267,1_merged_2098085,2066647
a_65562,12943,0,TO RIVERVIEW TC,88352,3_merged_2098086,2068912
b_67116,13053B,0,TO FAIRVIEW HEIGHTS,88819,1_merged_2098088,2084609
b_65315,13009,0,TO RIVERVIEW TC,88617,1_merged_2098088,2078000
a_62221,12924,0,TO ROCK ROAD STA,88257,1_merged_2098085,2066310
b_65312,13009,0,TO RIVERVIEW TC,88617,1_merged_2098088,2078001
b_6523,12992,1,TO ROCK ROAD STA,88552,2_merged_2098090,2075477
a_62482,12946,1,TO BRENTWOOD STA,88368,2_merged_2098087,2069165
b_62202,13002,0,TO SHREWSBURY STA,88590,1_merged_2098088,2077077
b_65325,13009,0,TO RIVERVIEW TC,88622,1_merged_2098088,2078006
a_65581,12926,0,TO ROCK ROAD STA,88265,1_merged_2098085,2066644
b_67116,13053B,1,TO SHREWSBURY LANSDOWNE I-44,88830,3_merged_2098089,2085240
b_65322,13009,0,TO RIVERVIEW TC,88622,1_merged_2098088,2078007
a_65141,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065444
b_65322,13009,0,TO RIVERVIEW TC,88619,1_merged_2098088,2078004
a_65151,12917,1,TO W FLORISSANT,88229,3_merged_2098086,2065445
a_65763,12954,0,TO CIVIC CTR VIA JCC,88403,1_merged_2098085,2070688
b_67120,13053B,0,TO FAIRVIEW HEIGHTS,88819,1_merged_2098088,2084608
b_65351,13011,1,TO RIVERVIEW TC,88631,2_merged_2098090,2078363
a_65273,12926,1,TO AMELING & MCKELVEY,88266,1_merged_2098085,2066649
b_65619,13027,0,TO LOUGHBOROUGH COMMONS,88710,1_merged_2098088,2080260
a_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065111
b_65802,13036,0,TO 14TH & SPRUCE,88755,1_merged_2098088,2082114
b_6,13070,0,GREEN LINE,88881,1_merged_2098088,2086029
a_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065116
a_67105,12973R,1,TO LAMBERT AIRPORT TERMINAL #1,88493,1_merged_2098085,2073693
a_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065117
b_65622,13027,1,TO N BROADWAY TC,88711,1_merged_2098088,2080321
a_62127,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065114
b_65352,13011,1,TO RIVERVIEW TC,88631,2_merged_2098090,2078362
a_62123,12916,0,TO 14TH & SPRUCE,88225,2_merged_2098087,2065115
b_62105,12995,0,TO CWE STA,88563,1_merged_2098088,2075845
b_65141,12998,0,TO MACKLIND & ARSENAL,88571,2_merged_2098090,2076558
a_67111,12973B,0,TO EMERSON PARK,88476,1_merged_2098085,2073638
a_65281,12927,0,EARTH CITY,88269,3_merged_2098086,2066790
a_65281,12927,0,EARTH CITY,88269,3_merged_2098086,2066793
a_65281,12927,0,EARTH CITY,88269,3_merged_2098086,2066792
a_65381,12927,0,TO LAMBERT AIRPORT,88268,3_merged_2098086,2066795
a_65282,12927,0,EARTH CITY,88269,3_merged_2098086,2066794
a_65301,12928,0,TO ROCK ROAD STA,88272,1_merged_2098085,2066797
a_65381,12927,0,TO LAMBERT AIRPORT,88268,3_merged_2098086,2066796
a_67102,12973R,0,TO SHILOH SCOTT,88485,1_merged_2098085,2073630
a_65298,12928,0,TO ROCK ROAD STA,88272,1_merged_2098085,2066798
a_67105,12973R,0,TO SHILOH SCOTT,88485,1_merged_2098085,2073632
a_67106,12973R,0,TO SHILOH SCOTT,88485,1_merged_2098085,2073633
a_67117,12973B,0,TO FAIRVIEW HEIGHTS,88478,1_merged_2098085,2073634
a_67120,12973B,0,TO FAIRVIEW HEIGHTS,88478,1_merged_2098085,2073635
a_67115,12973B,0,TO EMERSON PARK,88476,1_merged_2098085,2073636
a_67116,12973B,0,TO FAIRVIEW HEIGHTS,88478,1_merged_2098085,2073637
a_69326,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074943
a_69621,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074942
a_69622,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074941
a_69326,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074940
a_69624,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074947
a_69624,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074946
a_69623,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074945
a_69621,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074944
b_62203,13002,1,TO STLCC MERAMEC,88591,2_merged_2098090,2077158
a_69621,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074949
a_69624,12989,0,SCOTT AFB EAST BASE SHUTTLE,88535,1_merged_2098085,2074948
b_65621,13027,1,TO N BROADWAY TC,88711,1_merged_2098088,2080357
b_62841,13038,1,DOWNTOWN TROLLEY,88763,2_merged_2098090,2082677
b_65723,13032,0,TO RIVERVIEW TC VIA FOREST PARK,88727,2_merged_2098090,2081392
b_6,13070,0,GREEN LINE,88881,1_merged_2098088,2086023
b_65612,13027,0,TO LOUGHBOROUGH COMMONS,88710,2_merged_2098090,2080424
a_652,12910,0,TO CWE STA,88197,2_merged_2098087,2063978
b_65614,13027,0,TO LOUGHBOROUGH COMMONS,88710,2_merged_2098090,2080423
b_4,13070,0,GREEN LINE,88881,1_merged_2098088,2086056
